Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Shipping Type,Add-ons Purchased,Add-on Total,Purchase_Day,Purchase_Month,Purchase_Year,Accessory,Impulse Item,Extended Warranty
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,Standard,1,40.21,20,3,2024,3,0,0
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,Overnight,1,26.09,20,4,2024,0,1,0
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,Express,0,0.0,17,10,2023,0,0,0
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,Overnight,1,60.16,9,8,2024,0,2,0
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,Express,1,35.56,21,5,2024,1,0,0
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,Standard,1,65.78,26,5,2024,1,1,0
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,Overnight,0,0.0,30,1,2024,0,0,0
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,Overnight,1,75.33,24,6,2024,0,0,2
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,Standard,1,43.05,3,10,2023,0,1,0
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,Express,0,0.0,1,1,2024,0,0,0
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,Overnight,1,90.38,25,6,2024,1,2,0
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,Overnight,1,55.48,7,11,2023,1,0,1
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,Express,1,65.85,25,9,2023,0,1,2
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,Standard,1,70.17,7,7,2024,3,0,0
